# TEST CONFIGURATION BEGIN
# File Stream: filename: ch_Z_lagged3.csv  -  n_targets: 1
# [ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10] Pipeline: ArbitratedEnsemble: - ensemble_size: 10 - meta_error_metric: MAPE
# Prequential Evaluator: n_wait: 1 - max_samples: 3000000 - max_time: 10000000 - output_file: ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10.csv - batch_size: 1 - pretrain_size: 10 - task_type: regression - show_plot: False - metrics: ['mean_square_error', 'true_vs_predicted']
# TEST CONFIGURATION END
id,mean_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],current_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],true_value,predicted_value_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10]
130,0.075288,0.002588,-0.717394,-0.768267
131,0.075573,0.110004,-0.351817,-0.683486
132,0.075258,0.036837,-0.137365,-0.329295
133,0.074753,0.012670,-0.337006,-0.224446
134,0.074197,0.005322,-0.379960,-0.307005
135,0.073872,0.033167,-0.189177,-0.371294
136,0.073303,0.001671,-0.209843,-0.250716
137,0.072880,0.019081,-0.092803,-0.230939
138,0.072605,0.037395,0.068402,-0.124976
139,0.072086,0.005244,0.002993,0.075412
140,0.071604,0.008904,-0.077420,0.016938
141,0.071356,0.038814,-0.314575,-0.117563
142,0.070873,0.007159,-0.311910,-0.396523
143,0.071126,0.104798,0.012821,-0.310905
144,0.070712,0.015239,0.045236,-0.078209
145,0.070208,0.002190,0.102595,0.055798
146,0.070186,0.067123,0.253179,-0.005902
147,0.070281,0.083359,-0.030132,0.258588
148,0.071092,0.183003,-0.390385,0.037403
149,0.070815,0.032218,-0.204710,-0.384202
150,0.072281,0.277616,0.364680,-0.162213
151,0.075150,0.479706,0.799614,0.107006
152,0.075708,0.154873,0.870229,0.476690
153,0.075183,0.000120,0.768798,0.779775
154,0.074819,0.022366,0.817562,0.668011
155,0.074372,0.009536,0.863434,0.765781
156,0.073898,0.004774,0.850826,0.781730
157,0.073678,0.041309,0.993689,0.790443
158,0.073286,0.015310,1.030731,0.906996
159,0.073167,0.055326,1.181334,0.946119
160,0.074826,0.323780,1.561474,0.992457
161,0.074374,0.006072,1.296940,1.219016
162,0.075465,0.241271,0.735723,1.226916
163,0.075032,0.008849,0.707780,0.801849
164,0.074682,0.020693,0.649715,0.793566
165,0.074461,0.040247,0.482356,0.682973
166,0.074005,0.002945,0.544369,0.490098
167,0.073545,0.001235,0.501809,0.466663
168,0.073090,0.001226,0.496326,0.461310
169,0.072712,0.012602,0.615224,0.502965
170,0.072262,0.000335,0.555545,0.573859
171,0.071980,0.026458,0.665747,0.503086
172,0.072286,0.121866,0.924047,0.574953
173,0.071906,0.009986,0.738636,0.838565
174,0.072053,0.096271,0.444535,0.754811
175,0.071626,0.001112,0.532099,0.565450
176,0.071245,0.007920,0.595455,0.506461
177,0.070959,0.023336,0.412297,0.565059
178,0.070690,0.025442,0.292416,0.451921
179,0.070396,0.020710,0.226726,0.370636
180,0.070347,0.061952,0.088077,0.336979
181,0.069948,0.001782,0.065300,0.107515
182,0.069546,0.000298,0.111543,0.094286
183,0.069152,0.001022,0.026316,0.058280
184,0.068759,0.000475,-0.055165,-0.033375
185,0.068369,0.000061,-0.088802,-0.096622
186,0.068086,0.018217,0.003675,-0.131297
187,0.068077,0.066556,0.234880,-0.023104
188,0.067766,0.012368,0.096024,0.207234
189,0.067962,0.103124,-0.270023,0.051106
190,0.067679,0.016782,-0.272517,-0.142971
191,0.067370,0.011338,-0.241443,-0.134962
192,0.067215,0.039114,-0.368137,-0.170363
193,0.066850,0.000020,-0.312654,-0.308221
194,0.066559,0.012909,-0.350569,-0.236952
195,0.067024,0.153020,-0.685354,-0.294176
196,0.066999,0.062374,-0.839603,-0.589854
197,0.066874,0.043508,-0.845867,-0.637281
198,0.066786,0.050317,-1.039900,-0.815586
199,0.066458,0.004501,-1.019614,-0.952527
200,0.066270,0.030486,-0.834223,-1.008825
201,0.066002,0.014845,-0.930392,-0.808553
202,0.065736,0.014731,-0.926135,-0.804763
203,0.065398,0.000000,-0.864644,-0.864762
204,0.065199,0.026747,-0.944573,-0.781029
205,0.064980,0.022234,-0.983378,-0.834269
206,0.064690,0.007776,-1.029237,-0.941057
207,0.064962,0.118533,-0.643702,-0.987988
208,0.065187,0.109875,-0.264189,-0.595663
209,0.065089,0.045418,-0.526192,-0.313077
210,0.064920,0.031295,-0.424237,-0.601142
211,0.065250,0.131427,-0.020246,-0.382775
212,0.065014,0.017440,-0.014504,-0.146565
213,0.064710,0.002903,-0.059486,-0.005605
214,0.064484,0.018358,-0.232454,-0.096962
215,0.064288,0.024173,-0.400411,-0.244936
216,0.063981,0.000721,-0.382778,-0.355930
217,0.064070,0.082518,-0.574225,-0.286965
218,0.063770,0.001461,-0.524973,-0.563197
219,0.064117,0.136469,-0.056702,-0.426118
220,0.064432,0.130666,0.154106,-0.207371
221,0.064144,0.003397,0.151493,0.093214
222,0.063848,0.000987,0.109305,0.077886
223,0.063650,0.021609,-0.048898,0.098103
224,0.063383,0.006130,-0.163009,-0.084714
225,0.063092,0.000593,-0.188171,-0.163829
226,0.062925,0.026789,-0.049662,-0.213337
227,0.062837,0.043887,0.160759,-0.048734
228,0.062585,0.007465,0.201388,0.114986
229,0.062647,0.076239,0.383959,0.107844
230,0.063131,0.169674,0.721705,0.309790
231,0.062885,0.008546,0.672574,0.580127
232,0.062805,0.044997,0.397646,0.609772
233,0.062533,0.001902,0.366264,0.409879
234,0.062259,0.000904,0.411987,0.381921
235,0.062018,0.007704,0.287278,0.375051
236,0.061755,0.002446,0.214026,0.263486
237,0.061612,0.029038,0.364581,0.194175
238,0.061437,0.021510,0.498429,0.351767
239,0.061224,0.012447,0.533906,0.422340
240,0.061007,0.011243,0.576069,0.470038
241,0.060753,0.002095,0.449518,0.495285
242,0.060537,0.010371,0.324960,0.426798
243,0.060294,0.003754,0.329208,0.390475
244,0.060553,0.121087,-0.018306,0.329670
245,0.060813,0.121877,-0.313573,0.035535
246,0.060622,0.015637,-0.073657,-0.198705
247,0.060368,0.000066,0.025782,0.017677
248,0.060185,0.016555,-0.087613,0.041053
249,0.059957,0.005697,-0.052829,-0.128308
250,0.059784,0.018206,-0.233473,-0.098543
251,0.060194,0.158920,-0.605123,-0.206476
252,0.060021,0.018293,-0.655181,-0.519930
253,0.059777,0.000402,-0.466439,-0.486499
254,0.059535,0.000382,-0.369575,-0.389115
255,0.059449,0.038540,-0.265750,-0.462066
256,0.059693,0.119525,0.032215,-0.313509
257,0.059623,0.042549,0.191326,-0.014949
258,0.059536,0.037780,-0.049019,0.145353
259,0.059403,0.026281,-0.279146,-0.117031
260,0.059269,0.025892,-0.347505,-0.186595
261,0.059084,0.012647,-0.357881,-0.245422
262,0.059083,0.058655,-0.146376,-0.388564
263,0.059026,0.044783,0.048729,-0.162892
264,0.058871,0.019432,-0.136101,0.003297
265,0.058670,0.007317,-0.257716,-0.172175
266,0.058708,0.068476,0.038824,-0.222854
267,0.058556,0.019585,0.180787,0.040839
268,0.058330,0.000097,0.107947,0.117776
269,0.058204,0.025553,0.180845,0.020992
270,0.057981,0.000012,0.119988,0.123471
271,0.057762,0.000499,0.080663,0.058324
272,0.057597,0.014258,0.182055,0.062650
273,0.057397,0.005006,0.143711,0.072954
274,0.057217,0.009652,0.160776,0.062533
275,0.057040,0.010191,0.229181,0.128231
276,0.056863,0.009796,0.284460,0.185486
277,0.056651,0.000020,0.302808,0.307269
278,0.056442,0.000367,0.310828,0.329983
279,0.056458,0.060657,0.551974,0.305688
280,0.056393,0.038897,0.650056,0.452833
281,0.056186,0.000012,0.544057,0.540665
282,0.055989,0.002446,0.528454,0.479002
283,0.055850,0.018089,0.375210,0.509705
284,0.055651,0.000999,0.323383,0.354983
285,0.055459,0.002559,0.349595,0.299011
286,0.055443,0.051125,0.069671,0.295778
287,0.055337,0.025893,-0.050591,0.110322
